Name,Review,Label,,,
Endah Tri Utami Semito,"Ga bisa daftar karna nomer HP harus 9 digit, gimana ceritanya coba 12 ke 9... mau nya di donlot tapi udh di donlot malah gabisa daftar, aneh",NEGATIF,,,
Rudi Awirana,Menyesal sangat download aplikasi ini. Update trus app nya. Harganya lebih mahal di banding app sejenis. Uninstall,NEGATIF,,,
ami gustaf,"Aplikasi yang sering saya gunakan untuk membeli tiket n pesan hotel, selain gak ribet harganya juga murah dr yg lain belom lagi ada voucher diskon lagi...pokoknya recomended bgt",POSITIF,,,
Michelle love,"Gak bisa reschedulle , padahal pihak hotel sudah menyetujui karena masih ada kamar yang sama. Beda sama Tr*****k* meskipun dpt promo epic yang diskonnya 80% tetep bisa reschedulle.",NEGATIF,,,
Teguh Pamungkas,"Aplikasi cuman mau untung kuota aja,tolong kerja aplikasi yg jujurr bukan nya di bikin rugi custamer dengan cara loading aja dan tidak dapat hasil dengan baik. Boros kuota wifi saja. Dan RAm HP",NEGATIF,,,
Masduki Jakaria,Udh minim promo diskon lagi,NEGATIF,,,
Matteo Ricci Dwi,mana promo KAI nya?,NEGATIF,,,
Eti Sugianti,Diskon nya atuh,NEGATIF,,,
Beny Siswanto,"belom juga pake buat beli tiket apapun, sekalinya buka aplikasi minta update mulu. Makasih deh",NEGATIF,,,
Agus Sugus,"Mau tanya,gmn caranya proses utk mendapatkan tiket pesawat/hotel&bisakah dibayar kredit satu bulan,mhn tanggapannya.",NEGATIF,,,
Asti Perdani,Minta update mulu sih iniaplikasi baru juga donlod sehari minta di update trus blom seminggu minta update lagi udah gitu fitur searching hotel per daerah kurang spesifik,NEGATIF,,,
muhammad zainuri,"tolong ya iklan mister aladin di televisi jangan selalu pakai bunyi handphone, bikin orang kaget ngira handphone bunyi ngga taunya iklan. bikin reputasi ni aplikasi semakin jelek. payah",NEGATIF,,,
Wj Siswanto,"Mudah dipahami dan cepat cara penggunaan aplikasinya, so sll ada discount-nya.",POSITIF,,,
Surya Ariatma,Diskonnya makin menurun,NEGATIF,,,
Ahmad Hakiki,"promo tiket keretanya ditambah donk jadi 25% atau 30%, dan minimal untuk 2 sampai 3 kali penggunaan untuk per periode promonya",NEGATIF,,,
Mas Boy Ajah,"Saya beli tiket selalu dapat discount, jadi jgn hilangkan program ini, sebaiknya dilanjutkan dan ditingkatkan  ",POSITIF,,,
azmi makruf,Register dengan nomor hp selalu ditolak dengan sebab angka nomor nya kurang' padahal kode erifikasi sudah dimasukkan,NEGATIF,,,
Abdulaziez Mufakhhir,"Diskon tiketa nya paling mantap di banding yg lain, di pertahankan yah, jgn sampe di turunin",POSITIF,,,
deni purnama,Joooooos...mantep discount kereta apinya...kelas eksekutif harga bisnis.....kl bisa tambahin lg discountnya....,POSITIF,,,
Arief Fauzi,Promo kereta api khusus pemegang kartu kredit.......gak semua orang punya kartu kredit..,NEGATIF,,,
Aldebaran Chandra,"Maaf menunggu lama, masalah sudah teratasi. Dan tentunya, promo menanti.",NEGATIF,,,
rahmat afifah,Promo spesialnya gila gilaan.. Ga ada tandingan nya.... Mister aladin mantul...,POSITIF,,,
Hendra Mahaputra,Diskon tiket kereta api terbesar dari aplikasi lainnya tanpa tibet,POSITIF,,,
Backry Montero,"Respon cepat , dan operatornya baik... Mantap Mr. Aladin. Terima kasih  ",POSITIF,,,
Perwira Pandu,Miraaaaah bangeeet,POSITIF,,,
Kasno Kasno,Mudah bokingan,POSITIF,,,
Ardiansyah Ardiansyah,Perlu perbaikan. Saya selalu gagal membayar dgn mbanking. Harus pakai kartu kreditbaru lancar,NEGATIF,,,
virus ajaib,Selalu beri diskon yang murah2 mister aladin..,POSITIF,,,
Harith Husin,"Promonya utk tiket kereta dr malang ke Jakarta,luar biasa potongan nya,discoun nya...",POSITIF,,,
irwan darmawan,"Potongan Harga setiap Hari khususnya Kereta Api,pertahankan terus Mister Untuk potongan Harganya.",POSITIF,,,
Danang Widarto,Diskon an nya udh gak seperti dulu payah..!!!,NEGATIF,,,
Lada Wijaya,Alhamdulillah.... Ni aplikasi mantap bisa kasih potongan harga gede....,POSITIF,,,
agustina diana,kebanyakan hrs update aplikasi dipake aja hampir tiap minggu,NEGATIF,,,
Dian Anggreni,Saya udah register nomer verifikasinya kok eror min9 digit ya?,NEGATIF,,,
Ardyan syah,"bagus, tapi masih ada bug kadang mencet pesan kamar malah loding terus hilang gtu terus hedeh mohon di perbaiki",NEGATIF,,,
Ria Lesmana Official,Harga nya benar2 murah dan sangat membantu dlm pemesanan tiket.,POSITIF,,,
Puspista Fajar,Terlalu sering update.....br kemarin di update sekarang update lg...gak asyik,NEGATIF,,,
Calvin Lie,Semua nya mahal. Agoda jauh lbh murah.heheehe,NEGATIF,,,
adityo laksseno,"Mau pesen di whiz hotel cilacap susah amat,ksh promo tp ga bs pesen.",NEGATIF,,,
Muhammad Syaroni,Registrasi saat masukan no.Hp gagal trus. Perbaiki lah !.,NEGATIF,,,
Rinest Tambayong,Pesen melalui teman ticket kereta api dapat discount...jadi tertarik download,POSITIF,,,
Ezra Noviani,Harus banget di update.. Nggak bisa update latter ck,NEGATIF,,,
Agnes Hutapea,Seringin diskon dong seperti yg lalu lalu.,NEGATIF,,,
Yusral Hendrianto,Belum ada travel untuk Bis seperti traveloka dan bonus yang lebih menarik,NEGATIF,,,
davit eben,"Jelek aplikasi nya ga bisa di buka,pembohong",NEGATIF,,,
W. Febri,Error aplikasinya. Promo tidak bs dibayar di alfamart,NEGATIF,,,
Rafly Arifudin,Gak ada tiket bis dikira di apk ini ada tiket bis nyata nya gak ada huft maaf ku uninstall lagi apk nya,NEGATIF,,,
subi yanto,Sangat membantu utk perjalanan kami,POSITIF,,,
Mulyato Notonegoro,"Keseringan update, klo diskon paling gede sih",NEGATIF,,,
Hanafi Santika,Mau verifikasi nomer aja susahnya minta ampun,NEGATIF,,,
Yunita Sekararum,Terus aja minta di update,NEGATIF,,,
Abdoel Sobur,Error minta update tapi gaada update di playstore,NEGATIF,,,
Setyo Victory Channel,lumayan lah...cuma agak ribet ordernya,POSITIF,,,
Dren Heartstar,"Taik lah,kode promo gak bisa dipake",NEGATIF,,,
Sudiyono Sastro,Pembayaran pakai internet banking BRI bisa gk,NEGATIF,,,
Anik Bengkulu,"Banyakin promonya dounk,jangan iklannya aja dibanyakin.Cuma kasi PHP doank..",NEGATIF,,,
indra gunawan,Terimakasih mister aladin.. promo ny bermanfaat sekali.suksed selalu buat misyer Aladin,POSITIF,,,
Fachri Putra,Promo tiket kereta api nya mantap !,POSITIF,,,
XQPROX GTP,Harga hotelnya hrs lbh murah dr yg lain,POSITIF,,,
jihan makaila,Buat yg paham ..aplikasi ini bagus,POSITIF,,,
Aggita Rossa,Aplikasi apaan ga bisa booking yang jauh,NEGATIF,,,
Siti Soleha,Baru jg download udah ada notif update aja ,NEGATIF,,,
Lina Sari,promox mantap...sukses buat mister aladin,POSITIF,,,
muhammad al azhar,Gak ada hotel dijakarta selatan payah,NEGATIF,,,
elsa rizky,Baru update seminggu..suruh update lagi,NEGATIF,,,
Wisnu Ramadhani,"mantap, banyak promonya..",POSITIF,,,
murtini sukarno,Mudah memesan,POSITIF,,,
Joey Sharma,Mantabs...mudah di gunakan,POSITIF,,,
didik sudarsono,Saya suka dan layanannya cepat,POSITIF,,,
Embe Dombabogor,Sangat memuaskan ,POSITIF,,,
Wisnu Wardana,Sangat membantu,POSITIF,,,
Satria Mukti,"Bagus, tingkatkan terus",POSITIF,,,
Indah Rindayani,"Bagus,puas dan benar",POSITIF,,,
Danang Pambudi,Aplikasi bagus n byk promo,POSITIF,,,
MJA ONLINE,Sangat membantu sekali,POSITIF,,,
Piconk UOZY,"Aplikasinya gak simple, parah susah. Seharusnya sistem aplikasinya buang semua. bikin yg baru aja, simple n gak ribet. Liat inovasi siatem tetangga sebelah. Jauh lebih menyenngkan utk beli tiket atau hotel",NEGATIF,,,
Hanah Nurbaeti,Banyak promo gede gedean,POSITIF,,,
Tuppence Win,"Sebenarnya paket-paket hotel yg ditawarkan dan diskonnya sgt menarik, sayang sistemnya belum bisa mengimbangi app lain, sy book hotel sdh transfer uang, tp di sistem mereka tdk masuk, butuh waktu 2 minggu lebih untuk refund dan mesti rajin2 follow up ke cs/travel assistance nya.. Semoga ke depan leb...Ulasan LengkapSebenarnya paket-paket hotel yg ditawarkan dan diskonnya sgt menarik, sayang sistemnya belum bisa mengimbangi app lain, sy book hotel sdh transfer uang, tp di sistem mereka tdk masuk, butuh waktu 2 minggu lebih untuk refund dan mesti rajin2 follow up ke cs/travel assistance nya.. Semoga ke depan lebih baik lagi. Terima kasih.",NEGATIF,,,
WBA SPEED READING JAMBI,Belum pernah coba diberi 4 dulu,NEGATIF,,,
Ivan Ferdiansyah,Pelayanan sangat baik,POSITIF,,,
edi supardiono,Tiga az dlu sering loading ah,NEGATIF,,,
wisnu mutiara,Disc kereta api nya mantab pake cc mnc,POSITIF,,,
Ririen Soemardji,Sangat memuaskan,POSITIF,,,
Vincentius Prima Baskoro,Banyak diskonya..mantap,POSITIF,,,
Samsuri Fryansyah,Kurang memuaskan,NEGATIF,,,
heru wahyudi,"Gampang bookingnya, gede discont nya",POSITIF,,,
annisa nisya,Aplikasi buruk dan mahal,NEGATIF,,,
Yeni Fusfadewi,Sangat membantu,POSITIF,,,
anataya anataya,Promo.kurang menarik,NEGATIF,,,
Anita Suzie,Jangan sebentar2 update aplikasi,NEGATIF,,,
Dewi Etika,Diskon sangat bagus,POSITIF,,,
Arif Rakhman,"Kecewa sma aplikasinya, padahal udah pernah pake dan lancar g ada masalah pas yg kedua kali pake malah bkin kecewa, ""kronologi beli tiket k sby lwt aplikasi dan bayar lewat alfamart, dari alfamart keterangan transaksi berhasil tpi d mr aladin malah failed, udah kirim bukti struk alfa.a dan d suruh n...Ulasan LengkapKecewa sma aplikasinya, padahal udah pernah pake dan lancar g ada masalah pas yg kedua kali pake malah bkin kecewa, ""kronologi beli tiket k sby lwt aplikasi dan bayar lewat alfamart, dari alfamart keterangan transaksi berhasil tpi d mr aladin malah failed, udah kirim bukti struk alfa.a dan d suruh nunggu trus tanpa ada kepastian"", fix w kecewa duit w melayang mending pke aplikasi seblah g ada diskon tpi aman dri masalah bginian, makasih",NEGATIF,,,
Azzam Mushab,Saya mau pesen htl Saya g tau klau yg saya pesen tgl 8 saya mau pesen tgl 7 biasany klau aplikasi lain langsung pas tanggal ny kita g usah ganti saya langsung booking ini jebakan kayanya..mau d batalin g bis klau aplikasi lain bisa d potong berapa persen,NEGATIF,,,
Benni Dektus,"benarkah. tidak. ada. uang. , tidak. ada. Mr. aladin. lalu. berapa. rupiah. ongkosnya.",NEGATIF,,,
ifulz cipuluz,Kadang susah memboking....,NEGATIF,,,
Er Glorita,banyakkan harga promo,NEGATIF,,,
Diah Purbo,Diskonnya sih beneran gede banget tp mbayarnya kok ga bisa via VA M-BCA.. jadi harus ke Indomaret apa Alfamart dgn selisih waktu yg sangat mepet hanya setengah jam saja..kepontal2 jadinya..Tolong deh dipermudah untuk pembayarannya biar bisa VA BCA juga.,NEGATIF,,,
Eko Budi santoso,membantu sekali,POSITIF,,,
Alfari Rigen,"Min knp sy mau cari jadwal/tiket kereta selalu muncul ""Rute tidak tersedia"" padahal jelas² rutenya ada di app KAI, internet juga oke g lemot² amat. Solusi? sy sdh coba hpus data ttp saja",NEGATIF,,,
Indra Wijaya,"Waktu itu lagi liburan ke bandung dan coba booking hotel, setelah booking ternyata ada suatu kendala.. complaint pun terjadi, tapi pihak Mister Aladin dengan sabar membantu dan memberikan solusi untuk masalah saya.. Kamar saya pun di alokasikan dan di upgrade gratis.. thank you so much for ur effort...Ulasan LengkapWaktu itu lagi liburan ke bandung dan coba booking hotel, setelah booking ternyata ada suatu kendala.. complaint pun terjadi, tapi pihak Mister Aladin dengan sabar membantu dan memberikan solusi untuk masalah saya.. Kamar saya pun di alokasikan dan di upgrade gratis.. thank you so much for ur effort Mister Aladin.. Saya benar2 mengapresiasi pelayanan kalian terhadap customer ",POSITIF,,,
AF log aluna,Kecewa.. krn konfirmasi kode booking d email dan d aplikasi beda.. hrs ny d samakan krn ga smua org mengerti untuk buka email.. kn pk aplikasi jd sy lihat d aplikasi..pas d stasiun kode tdk bs dpke pdhl wkt mepet.. alhasil beli tiket lgsg d stasiun..komplen k cs..hangus..jd merugikan..tolong dperbai...Ulasan LengkapKecewa.. krn konfirmasi kode booking d email dan d aplikasi beda.. hrs ny d samakan krn ga smua org mengerti untuk buka email.. kn pk aplikasi jd sy lihat d aplikasi..pas d stasiun kode tdk bs dpke pdhl wkt mepet.. alhasil beli tiket lgsg d stasiun..komplen k cs..hangus..jd merugikan..tolong dperbaiki..hrs sesuai antara email dan aplikasi..     ,NEGATIF,,,
Arif Yulia,"Yah mister dah miskin ya.? Dah gk ada lg diskon kretany. Padahal bisa membantu kita"" yg PJKA.",NEGATIF,,,
Arif Nayla,Promony paling top  ,POSITIF,,,
Indry Yanie,Diskon nya beneran  ,POSITIF,,,
septian,terimakasih misteraladin diskon tiket kereta nya 20% .. walaupun saya uninstal lagi karena memory penuh.. tapi saya tetap rekomendasikan ke teman2 saya aplikasi mister aladin paling baik.. banyak diskonnya.. .. nanti saya instal lagi kalo beli tiket.. dan saya sudah bantu menyebarkan alikasi ini di ...Ulasan Lengkapterimakasih misteraladin diskon tiket kereta nya 20% .. walaupun saya uninstal lagi karena memory penuh.. tapi saya tetap rekomendasikan ke teman2 saya aplikasi mister aladin paling baik.. banyak diskonnya.. .. nanti saya instal lagi kalo beli tiket.. dan saya sudah bantu menyebarkan alikasi ini di medsos,POSITIF,,,
yosef hermawandi,"pengalaman pertama saya buruk banget pake mister aladin, dengan alasan tidak sinkron dengan PT. KAI , apa maksudnya pembayaran lwat virtual accoun tapi waktu hangus pdahal baru beberapa menit.",NEGATIF,,,
ardi bahru,Mr.aladin sekarang pelit diskon tidak seperti dulu dulu diskon ny bisa sampai Rp150k untuk tiket kereta api. Sekarang pelit gak ada beda ny dengan aplikasi travel kebanyakan.. payah,NEGATIF,,,
Andresa Syah,Saya registrasi kok nggak bisa? Pencet angka nya sampai 5 menit malah nggak bisa di aplikasi nya? Udah saya mnta kode baru juga nggak bisa di pencet angka nya?,NEGATIF,,,
Indri humairo,"percuma diadain promo besar2an juga, pas mau bayar ke alfa transaksi eror terus, padahal transaksi nya tepat waktu sebelum batas yang ditentukan ribet..sekali jauh sekali dengan aplikasi sebelah t*****ka sangat mudah dan cepat pembayaran nya juga bisa lewat virtual BRI. tolonglah diperbaiki lagi, pe...Ulasan Lengkappercuma diadain promo besar2an juga, pas mau bayar ke alfa transaksi eror terus, padahal transaksi nya tepat waktu sebelum batas yang ditentukan ribet..sekali jauh sekali dengan aplikasi sebelah t*****ka sangat mudah dan cepat pembayaran nya juga bisa lewat virtual BRI. tolonglah diperbaiki lagi, percuma aja ada diskon juga kalo fasilitasnya masih kurang. asli kecewa.. maaf terpaksa saya balik lagi ke aplikasi yang sangat mudah dan cepat t******ka",NEGATIF,,,
novitha fanani,"baru kali ini pakai aplikasi seburuk ini, pesen tiket KAI masa pakai datanya yg di masukin tiba tiba berubahbpake nama email. terus pas di cetak tiketnya gak ada no NIK kalau pakai aplikasi tetangga mah selalu bener dan gak pernah ada kendala. jangan pernah tergiur dengan promo.",NEGATIF,,,
atlantik maju jaya,"soal tiket.. gak ada tanggung jawabnya: saya ada bookingan utk bsok.. saya sudah bayar via transfer.. penjelasannya di transaksi di bank sudah melakukan pembayaran.jadi tiket gak di kirim.. sesudah itu saya telp ke pihak Mister.. terkesan kasar kali... seperti org gak ada tanggung jawab"" mohon kalo ...Ulasan Lengkapsoal tiket.. gak ada tanggung jawabnya: saya ada bookingan utk bsok.. saya sudah bayar via transfer.. penjelasannya di transaksi di bank sudah melakukan pembayaran.jadi tiket gak di kirim.. sesudah itu saya telp ke pihak Mister.. terkesan kasar kali... seperti org gak ada tanggung jawab"" mohon kalo di mao maju perusahaan tersebut pekerjaan org yg lebih sopan dalam tuturnya.. atau di kasih belajar dolo... terimma kasih",NEGATIF,,,
rida kusardianto,mantap promonya,POSITIF,,,
Denny Saputra,"Iya nih booking hotel juga kok error, abis update aplikasi malah hang . . . Pas klik lihat detail juga hang . . . .",NEGATIF,,,
tony warnando,Situs ini khusus booking hotel bisa menyesatkan anda. Hotel yg berlokasi di kota lain di sumatera barat di tampilkan di kota padang. padahal hotel tersebut bisa sampai 150 km dr kota Padang. Hati hati. Mohon perbaiki Mister Aladin. Jika tidak update tidak bisa di pakai lagi. kesimpulan : bye aladin,NEGATIF,,,
de e,"Asisten saya baik bgt deh kalo kita nanya dia pasti jawab meskipun ada di tiket dan saya tidak paham dia pasti jawab walaupun itu hal sepele juga, terima kasih mister aladin atas pelayanan yang nyaman dan memudahkan kita apalagi fitur asisten pribadinya ",POSITIF,,,
Fina Sinta,"ya emang sekarang lgi jamannya tiket mahal..tpi knp sii kok mahal,,dulu perasaan nggk deh..aku kan mau berangkat mondok jdi ke undur..rumah ku jauh loo..kasian dong pemerintah...tolong di jawab deh min..jdi curhat kan aku..salah low membuat hati anak yg mau mencari ilmu di halang2 halangi dgn tiket ...Ulasan Lengkapya emang sekarang lgi jamannya tiket mahal..tpi knp sii kok mahal,,dulu perasaan nggk deh..aku kan mau berangkat mondok jdi ke undur..rumah ku jauh loo..kasian dong pemerintah...tolong di jawab deh min..jdi curhat kan aku..salah low membuat hati anak yg mau mencari ilmu di halang2 halangi dgn tiket mahal",NEGATIF,,,
Pendekar Angin,"promonya bagus dan menarik tapi aplikasi ga user friendly, buka tab baru buat kopi identitas kembali ke tab mister (jeda agak lama) data sudah g ada, kehilangan peluang tiket pula. kalo mmg ada jangka waktu utk mengisi data plis dkasih notice. biar aware. ni masalah developer yang kurang tes ke pela...Ulasan Lengkappromonya bagus dan menarik tapi aplikasi ga user friendly, buka tab baru buat kopi identitas kembali ke tab mister (jeda agak lama) data sudah g ada, kehilangan peluang tiket pula. kalo mmg ada jangka waktu utk mengisi data plis dkasih notice. biar aware. ni masalah developer yang kurang tes ke pelanggan.",NEGATIF,,,
Azizah Abdullah Alaydrus,Mohon ketersediaan waktu untuk pembelian tiket pesawat domestic sampai 3 jam dari jam keberangkatan. Terimakasih.,NEGATIF,,,
Pengguna Google,Sangat lambat dalam proses pemesanan tiket pesawat juga kadang harga tidak tidak tampil yg termurah. mhon tingkatkan kualitas kecepatan server..soal harga? ? Saya suka karna murah dan lebih sering dapat promo,NEGATIF,,,
Sri Pur,"aplikasi ini sangat bagus.... Mohon Mister aladin untuk Promo diskon Ticket kereta 200Ribu tolong di adakan kembali, Karena saya belum pernah nyoba, untuk Lebaran nih hehe Mntap Caur, apakah Pembayaran Bisa melalui Via Alfamart atau indomaret ?",POSITIF,,,
indi indi,diskon keretanya hanya dibatasi satu kali doang?????.. padahal kan sering bolak balik…,NEGATIF,,,
Pricillia Dewi Mega,Sangat bermanfaat bagi pengguna kereta api karena diskon yang diberikan paling besar di antara aplikasi lain tanpa syarat yang menyulitkan ataupun batas transaksi yang terlalu besar. Selama ini juga tidak ada masalah dalam penggunaan aplikasi. Metode pembayaran sekarang juga bermacam-macam bank,POSITIF,,,
Pengguna Google,"Kecewa dgn mister aladin, kamar hotel yg sdh di bayar gak bisa confirm. Alasan nya kamar yg di sediakan sdh habis.Pdhal sdh pembayaran.Kemudian cs telp akan nge refund paling lama 1x24 jam. Realitanya sy hrs menunggu 3 hari agar dananya kembali. Buat mister aladin tlg systemnya diperbaiki.Agar custo...Ulasan LengkapKecewa dgn mister aladin, kamar hotel yg sdh di bayar gak bisa confirm. Alasan nya kamar yg di sediakan sdh habis.Pdhal sdh pembayaran.Kemudian cs telp akan nge refund paling lama 1x24 jam. Realitanya sy hrs menunggu 3 hari agar dananya kembali. Buat mister aladin tlg systemnya diperbaiki.Agar customer gak kecewa.",NEGATIF,,,
MAGDALENA CUMBI,"voucher hotel non refundable ..saya paham ,saya tidak minta uang kembali, tapi saya minta tolong rescedhule. kok tidak bisa. reschedule kan bukan minta uang kembali. aduh tolong buat aturan jelas dong",NEGATIF,,,
syahrul ikhsan,"aplikasinya oke.. lancar ga ada iklan ngeganggu.. pelayanan yang sangat sempurna (baik & fast respon) ditambah diskon diskon yg oke .... pokoknya gue rekomendasiin nih apk... tapi jadi note aja buat yg mau pesen kereta, waktu pembayaran cuma dikasih 50 menit aja.. jadi harus cepet cepet dilunasin...",POSITIF,,,
Lina Wijaya,"Dulu gampang banget dapet promo tiket kereta di misteraladin,sekarang jarang promo,ada promo pun harus pake CC tertentu ",NEGATIF,,,
Pengguna Google,"Sangan memuaskan, apalagi dengan fitur my personal assistant yang sangat membantu. Kalau ada kekeliruan pun langsung cepat di tanggapi oleh pihak mister aladin, top bgt deh pokoknya ",POSITIF,,,
Fauzi Rahman,Coba metode pembayaran d tambah dengan pembayaran cash biar yang ga punya atm atau yang ga ngerti transfer transfer bisa cekin,NEGATIF,,,
Afif Hassan,"Susah pemesanan nya, sudah masuk ke metode pembayaran, eh tetiba hilang proses nya...",NEGATIF,,,
Adham Zhan,Diskonnya sangat membantu saya... karena saya sering bepergian mengunakan kereta api antar provinsi... terima kasih mister,POSITIF,,,
Yogi Pratama,Baik nih bro saya suka bisa bayar tiket di alfa gak kaya apk sebeleh  gua suka gua kasih rate bintang 5 nih,POSITIF,,,
Weldha Novita A,Kecewa metode pembayarannya dibuat susah. Ga niat berbagi dalam rangka ultahnya! Coba kalo bisa dengan transfer bank. Dua kali dapet harga hotel 99 ribu tapi yasudahlah numpang lewat saja.,NEGATIF,,,
