"Nama ","Review","Label"
"sozo babystore","kami sebagian driver pemasangan iklan mister Aladin dimobil kami 3bulan belum dibayar dengan naungan sticar, dengan alasan dari pihak sticar mister Aladin belum mbayar kepihak sticar...","NEGATIF"
"hari setiawan","aplikasi tidak sesuai dengan kenyataan dihotel dan tidak bertanggung jawab atas kerugian pelanggan","NEGATIF"
"Urip Sandoyo","Gimana cara masukin kode promonya ya?","NEGATIF"
"Pengguna Google","Kenapa saya sdh transfer 2 juta lebih tpi malah tidak ada keluar nomor boking dn smua2nya apa saya dapat tipu?","NEGATIF"
"FOCUESGAMINGPRO FOCUESGAMINGPRO","Meloding melulu....terlalu lama..eeh ga jadi2 kode bokingnya","NEGATIF"
"erika juliani","tolong dong perbarui agar bs psen lebih dr 1 room hotel jdinya ga ribet2 hrs 2x transaksi","NEGATIF"
"Republic Of Technology","diskonya besar...tapi kenapa aplikasinya berat untuk d jalankan login aja gagal terus","NEGATIF"
"putri tulus hati","pesen tiket atau rencana liburan gampang bgt.. tp blum bisa pake m.banking.. hiks","NEGATIF"
"Chrizzt RL","Harga disini lebih mahal dibanding beberapa aplikasi sejenis, mohon diperhatikan.","NEGATIF"
"Ahmad Rijensa","respon dari fasilitas bantuan itu cepat tapi aplikasi tidak bisa dibuat memesan tolong segera dibenahi","NEGATIF"
"dayren gaming","Pesan hotel banyak yg kamarnya tidak tersedia, beda dengan aplikasi sebelah","NEGATIF"
"Semeton Lombok Entertainment","Promonya sudah tidak seperti dulu lagi,lebih baik pake aplikasi sebelah","NEGATIF"
"Mai Perlak","Belum ada krjasama dgn hotel melawai 1 dan 2","NEGATIF"
"Wahyu Alfatih","sy baru saja pesan tiket kereta sudah bayar tp kode bokingnya gak keluar gimana ini","NEGATIF"
"Riggrn Angg","waktu mau klik booking kok gak bisa sih? kadang bs kadang g bs. banyak gak bisanya  ","NEGATIF"
"Gunawan Hasyim","utk mengetahui dan memesan tiket pesawat secara cepat","NEGATIF"
"ferdy arsenal","ngasih kode promo terus2 an,, tpi pas dipakai gak bisa,, muter2 gak jelas.. maaf sya uninstall","NEGATIF"
"Budiman Chaniago","Ga bisa update","NEGATIF"
"Syarifah Mellyannur","kenapa aplikasi lemot sekali yaa, baik akses lewat komputer atau aplikasi sama lemotnyaa","NEGATIF"
"D- Institute","kalau bisa tambah metode pembayarannya.bisa m banking atau internet banking.","NEGATIF"
"Desain Rumah Suka Suka","selalu force close saat ingin mengisi data penumpang, zenfone 3, segera perbaiki!","NEGATIF"
"Nuar Agung","Diskon 50% tapi boongg awokwowkwokwok","NEGATIF"
"Pengguna Google","Aplikasi tai lah masa pas mau cek tiket pesawatnya gak bisa-bisa","NEGATIF"
"Rois Sudin","murah dari mana kucoba instal sama aja dgn yg lain,uninstal lagi dech....","NEGATIF"
"Rafi ismail","Katanya ada paket tour saya lihat di aplikasinya gak ada tu","NEGATIF"
"sylvi kleian","baru coba sih.. untuk alamat lengkapnya di mana?","NEGATIF"
"adelina prayogi","Tolong untuk pembayaran adakan untuk MNC bank juga. Terimakasih","NEGATIF"
"ASCAFARI","MAU CARI KERETA DRI BANDUNG TIDAK ADA COBA CARI LOKASI TERDEKAT SAMA AJA TIDAK ADA APLIKASI APAAN SICH..ribet amat","NEGATIF"
"adrianto nova","Dowload versi terbarunya lama ya","NEGATIF"
"Pengguna Google","hanya rute domestik saja, tidak ada internasional  ","NEGATIF"
"cahya kurniawan","sering-sering kasih promo untuk pemakai credit card MNC dong","NEGATIF"
"Wahyu Sali","halo mr.Aladin saya mau login/daftar keterangan gagal.mohon Bantuannya.txs","NEGATIF"
"Arifin Saragih","apa keluar2 sendri,mo cek penerbangan aja gk bisa...wedus","NEGATIF"
"Suandi Pratama","Kenapa nama bandara makassar tidak bisa di temukan yaa","NEGATIF"
"Pengguna Google","Kurang bagus gk ada penerbangan internasional.....","NEGATIF"
"Pengguna Google","parah pelayanan lama..saya tunggu 1jam di lobi...","NEGATIF"
"Gung Oka","Nama aku diah aku kan mau instal tapi sudah 100 gk bisa di inatal","NEGATIF"
"Master Mashudi","mohon di tambah fasilitas menu bokingan yang masih time limit","NEGATIF"
"Arraya Raya","cara pembayaran nya ribet...coba pakai sms bangking","NEGATIF"
"Amoy Hog","Hotel Yang w Cari gak Ada masa,,,""Sahid Eminence Hotel"" Bogor...Kurang Update nih Hotel2 nya","NEGATIF"
"Sutrino Rafkafael","Bintang 1 aja klo perlu ngk ku kasih bintang sangat kecewa .sangat lambat sekali dalam pengajuan refund. Saya mengajukan refund dri tangal 30bln 3 Brangkat pesawt tgl 4 bln 4. Masih ada waktu 5hri Di setujui aja blm ada konfirmasi","NEGATIF"
"Moch Asnan","Apa apaan ini. Penerbangan saya di batalkan, saya masih harus mengajukan refund, mana hanya beberapa jam setelah pembatalan sudah tidak bisa refund, makan lah sana uang ku, semoga berkah","NEGATIF"
"Teddy","Anda pasti sudah tau maksud saya kenapa saya kasih bintang 1. Capek sudah katanya bakal dihubungi 30-60 menit, udh 2 jam nunggu gak ada notif dan telepon masuk dari sononya.","NEGATIF"
"Rona Wardani","Proses refund berbelit² , masak refund maksimal 90 hari, kenapa sistemnya gak dibuat kayak e-commerce, yg kalo kita batalin pesanan gak sampe 1 hari udah balil, ini kelemahan sistem yg sangat fatal","NEGATIF"
"Didin Abidin","pelayanan refund sangat buruk. dah lama nununggu 90hari nyatabya balikin pke voucher gkda konfirmasi ke customer :""(","NEGATIF"
"Ronal V","Hapus bintang 5 nya karena payah masa diblokir paylater nya padahal blum dipakai sama sekali!!","NEGATIF"
"Prito Onne","Kejelasan dalam sistem Refund yang sangat buruk, tolong beri kejelasan kepada pengguna jasa. Sudah 30 hari dan status refund saya seolah-olah diabaikan begitu saja tanpa ada tindak lanjut.","NEGATIF"
"moh irwan","Kalau duit refund gak di kembalikan paling bentar lagi juga mati. Seharusnya kepercayaan pelanggan diutamakan. Masih banyak aplikasi lain yang lebih bertanggung jawab","NEGATIF"
"Citra Ismalina Natzher","Saya mengajukan refund dari tgl 25 maret sudah disetujui tapi sampe tgl 19 april belum cair2...belinya gampang refundnya berbelit belit ga kek aplikasi sebelah. Udah ga percaya lagi deh beli tiket disini.","NEGATIF"
"Muhammad febri Setiawan","Maaf Mimin koq saya mau bayar cashbon gak bisa ya ?, Saya bayar Mimin tapi saya cicil soalnya saya jga di PHK dan sekarang lagi pandemi corongna mohon kebijaksanaan nya ya terimakasih.","NEGATIF"
"Nur Rohman","NI APLIKASI LAMA² KAYA TAEKK ) PROSES REFUND NYA 2.5 ABAD . GK KY APLIKASI SEBELAH . SIMPE GK RIBET . PENGAJUAN REFUND NYA JUGA CEPET . BISA CHAT VIA WHATSAPP ,PROSES 2X24JAM DANA KEMBALI KE REKENING . . GK KY NI APLIKASI . CHAT AJA ROBOT YG JAWAB .MEMANG TAI NI APLIKASI . CICILAN KARTU KREDIT UDAH ...Ulasan LengkapNI APLIKASI LAMA² KAYA TAEKK ) PROSES REFUND NYA 2.5 ABAD . GK KY APLIKASI SEBELAH . SIMPE GK RIBET . PENGAJUAN REFUND NYA JUGA CEPET . BISA CHAT VIA WHATSAPP ,PROSES 2X24JAM DANA KEMBALI KE REKENING . . GK KY NI APLIKASI . CHAT AJA ROBOT YG JAWAB .MEMANG TAI NI APLIKASI . CICILAN KARTU KREDIT UDAH JALAN . TP DANA AKAN DIKEMBALIKAN KE REKENING KARTU KREDIT DALAM 90HARI KERJA ... LAHHH KEBURU LUNAS LAH AKU BAYAR CICILAN 3 BULAN . GILA NI YG PUNYA APLIKASI .MAU UNTUNG NYA DOANG .","NEGATIF"
"Atik Faezaty","sangat mengecewakan sekali...sy mengajukan refund tgl 25 maret untuk penerbangan tiket garuda solo jkt tgl 8 april...sampai sekarang tidak ada kejelasan kapan uang sy di kembalikan...","NEGATIF"
"Nurhasanah Nasution","Tolong kembalikan uang refund saya, Uda mau 3 bulan belum juga di kembalikan","NEGATIF"
"Dwi Komandari","Harap lebih ditingkat, terutama dlm hal kecepatan merespon keluhan pelanggan","NEGATIF"
"Norhana Hamidi","Sy ingin Refund karna gak bisa mudik dari batam ke pekan baru..dan smua data sudah lengkap ..cuma saat mengisi data bank kenapa pilihan bank BCA gak ada ..padahal masa bayar kemarin pakai bank BCA","NEGATIF"
"juna cimank","Kenapa playlater saya d blokir,padahal saya selalu bayar.","NEGATIF"
"Fariz Maulana","Hallo,kenapa saya tidak bisa RESCHEDULE ?? Saya boking awal Bulan Maret, Keberangkatan 21 Mei. Tetapi Tidak Bisa RESCHEDULE, Masalahnya apa? Tolong Jelaskan,.!","NEGATIF"
"Jiu Phen","refund saya udah 4 bulan lebih dana saya masih belum kirim balik..","NEGATIF"
"Unhye Kurnia","Gimana masalah refund saya yah ? Nggak ada kejelasan sama sekali","NEGATIF"
"Agung Wahyudin","Proses refud lama banget dr tanggal 1 april sampai sekrng belum d balikan lagi ,","NEGATIF"
"Musafir","Mengapa dana Refund saya belun diproses dan dikembalikan. Padahal 14 hari kerja sudah lewat dari tanggal 17 Maret 2020. dan sekarang belum dikembalikan mohon kepastianya.","NEGATIF"
"Gallan Wijaya","kenapa ulasan saya di hapus? memang fakta nya tiket garuda saya itu refundable bukan travel creditable, segera refund uang saya dalam bentuk IDR bukan voucher, bukan travel credit.","NEGATIF"
"RaA AGG","Komputer terosss yg bales. Mesin automatik terossss yang bales. Gak paham gw sam CS dan KAi mau nya gmn. Udh pakai aplikasi terbaru msh ga bs. email udah. Msh aja ga ada solusi.","NEGATIF"
"Alki Dwika","Refaund saya kok blm selesai, padahal udh sampai 1 bulan","NEGATIF"
"Abu Haziq","Pengajuan refund dari 01 April 2020. Hingga saat ini 18 Mei 2020 belum ada kejelasan. Duit gw 3 juta tolong balikin !!","NEGATIF"
"Iwan Purwanto","Dana refund saya blom dikembalikan sdh berbulan"" PAYLATER saya telat 2hari sudah diblokir... Tidak ad kebijaksanaan","NEGATIF"
"Stevan Qui","Saya sudah mengajukan refund & uang saya belum kembali udh lewat dari 7 hari. Malah di potong, padahal bukan keinginan saya untuk refund. Tolong lah","NEGATIF"
"afrizalnanda 10","Proses refund di masa pandemic sudah 3 bulan belum ada kejelasan","NEGATIF"
"ahmad fauzi","Kenapa saya ajukam refund tidak bisa, malah diganti dalam bentuk travel credit.... maksudnya apa???!!! Saya kecewa sekali","NEGATIF"
"Riswanto Taja","refund tiket pesawat saya tidak di proses sampai lewat tgl pembayaran, token yang biasa saya beli lewat paylater sdh tidak bisa lagi.. padahal selalu bayar  ","NEGATIF"
"ryant davis","Persetan lah ini aplikasi. Penerbangan dibatalkan maskapai tapi refund tidak di proses proses. Di telfon tidak bisa"", pelayanan buruk","NEGATIF"
"EDI JUNAEDI","Wooyyyyy balikin duit gueeee...!!! Kalo gak siap menghadapi situasi kaya gini gak usah jadi aplikator, tutup az !!!!","NEGATIF"
"C & A chanel","Wooooooooooooooooooooooooy kapan sanggup mengembalikan uang refund saya leeeeeeeeeeeleeeeeeeeeet taiiiiii kondisi lagi sulit bikin sulit .... harusnya ditutup aja aplikasi yg begini","NEGATIF"
"Lies Maria","WOI BANGSAT GW GA NERIMA REFUND DALAM BENTUK VOUCHER..KAN UD DIKASIH NO REKENING. KNPA GA TRNFER AJA. GW BUTUH YG PASTI2 AJA DUITNYA KEMBALI !!!BUKAN VOUCHER. INI SUDAH TERMASUK DALAM PENIPUAN.","NEGATIF"
"dwianto rudi widagda","Kenapa selalu gangguan ketika mengajukan reschedule ? Payah ih","NEGATIF"
"Stefani Alpian","APLIKASI SAMPAH! refund tiket dr tgl 1 Maret 2020 sampai skrg blm di proses! Tlp cs gk nyambung, email gk bls, bener"" sampah!","NEGATIF"
"Jumar Komeng","Aplikasi pembohong, masak saya refound jumlah nya gak sesuai, d estimasi tertera refound dg jumlah 1,4juta giliran di refound cuma dapet 800ribu, masak 50% uang kita hilang","NEGATIF"
"Yd Suyadi","kenapa tiba2 ada nambah biaya pelayanan?? biasanya malah potongan harga.. tanpa pemberitahuan lg sblmnya. Jebakan ni","NEGATIF"
"Sakthi Siregar","Udah slow respon Pas respon jwabannya itu2 aja Ga sesusai dengan yg di tanyakan Di telpon ga terhubung Gimana sih kinerjanya Dalam suasana kayak gini pengembalian biaya harus nunggu 90 hari.","NEGATIF"
"Merry SJ","Proses refundnya lama, mana call centernya ngk bs di telpon, di chat dr app seolah"" robot yg jawab. Ngk profesional bng. Bad","NEGATIF"
"Prima Saputra","Aplikasi yg sangat mengecewakan. Bukan semakin lama semakin bagus. Tapi semakin hancur..","NEGATIF"
"Jepriyadi Widarta","Gak perlu penjelasan. Sudah jelas buruknya kinerja penyedia layanan. Kalau gak terima bilang ya","NEGATIF"
"Bakoeng Bakoeng","Call center tdk bisa di tlp2, potongan refund terlalu besar padahal dr maskapai tdk ada potongan, proses refund lama, inbok tdk ada respon...","NEGATIF"
"ruli saputra","Pelayanan sangat buruk. Tidak menghargai customer. Maaf, ini pengalaman saya pribadi. Tidak direkomendasikan.","NEGATIF"
"Asar Ibrar","Woi setan, saya pesan tiket kok ngga bisa keluar tiket nya, pdhal duit sudah saya kirem melalui trinusa travelindo saya ingin duit saya kembali pdhal saya telat kirim struk mohon di peduli in","NEGATIF"
"Maria Patresia","Proses refundnyaa terlalu lama, 3 bulan bahkan bisa lebih. Mending berpikir 2x kalo mau pesan dari aplikasi ini.","NEGATIF"
"Dadan mb","Sangat sangat kecewa. Refund dari tgl 25 maret sampe sekarang tgl 21 blm ada kejelasan. Tolonglah !!!","NEGATIF"
"Fer Yuka","Setelah di update malah aplikasinya sering tiba"" ngebleng terus kembali kemenu utama, di update bukan makin baik malah makin buruk","NEGATIF"
"Ravif Abdallah","Saya kecewa karna tidak bisa refund ! Ini sama hal nya dengan penipuan. Tolong ini kebijakan nya dimana?","NEGATIF"
"Markus Ananda","Lemot banget saat melakukan pencarian tiket online","NEGATIF"
"Ramadhan Primadianto","Kali ini saya kecewa, mengenai tiket untuk terbang besok, disaat tanya ke CS, CS tidak ada jawaban","NEGATIF"
"Ahmad Shabir","Sedih, atas penangan refund yang tidak jelas","NEGATIF"
"Andi Putra Andi","Saya kecewa refund saya diganti dengan voucher hmmm","NEGATIF"
"IMade Suwecantara","Sudah sebulan refund sama sekali tidak ada kejelasan...yang menjawab selalu saja akun boot....","NEGATIF"
"Hari Bgns","KECEWA, UANG TIDAK BISA KEMBALI. JANGAN INSTALL DEH. APLIKASI LAIN AJA.","NEGATIF"
"iin karlina","gak mutu, mnding pindah aplikasi lain yg trpercaya","NEGATIF"
"Yody Saputra","Mengecewakan..!!!!!! Dana refund kelamaan di kembalikan.","NEGATIF"
"Agha_ Agatha","mengecewakan,h-1 di batalin tanpa info yg jelas sebab pembatalan perjalanan dan untuk proses refund uang.nya sulit..","NEGATIF"
"Rhobet Graha Saputra","mhon di percepat kembalian dana refund udah hampir 3 minggu ga jelas.","NEGATIF"
"Bayu Dewata","Aplikasi yg lari dari tanggung jawab, harap menggunakan aplikasi lain untuk memesan apapun","NEGATIF"
"Rio shikimo","Apk anjing, orang orang yang memiliki otak seperti binatang","NEGATIF"
"Order Ixa","Pelayanan refund rumit dan terkesan lambat","NEGATIF"
"Fella Monica","Pelayanan refund yang sangat lambat, tidak jelas. Kami sangat kecewa","NEGATIF"
"Heri Gustian","Refund bertele tele, bangsat. Trakhir saya transaksi disini","NEGATIF"
"rudy ezza17","Aplikasi bangke, tiket psawat d refund mlah duitnya raib g jlas,","NEGATIF"
"Raz iseng","Proses refaud yang sangat sangat buruk","NEGATIF"
"achmad jaelani","kalau malam agak susah bayar transfer","NEGATIF"
"Akbar Akbar","aplikasi apaan ini ,masa refun hingga 90 hari baru bisa proses","NEGATIF"
"april aprilio","Lambatnya proses pelayanan untuk melakukan peroses refund.","NEGATIF"
"YUNITA RAHMAH","Sangat buruk dah, ngerefund susah amat, uda hampir seminggu proses mulu","NEGATIF"
"Rizki Hirmanto","makin mahal saja pelayanannya..gak paham apa org lagi susah","NEGATIF"
"jeremi kevin","CS nya dihubungi dari email maupun nomor telfon tidak ada yang balas","NEGATIF"
"tegar saputra","tambah mahal ada biaya layanan padahal udah ada admin fee kode uniknya jg nambah. uninstal","NEGATIF"
"Asep Surya","Sulit dalam proses refund reshcedule dan menghubungi call center","NEGATIF"
"Handi Agusti","Gak profesional cs pakai robot di tlp no cs gak perna di angkat.... ","NEGATIF"
"Vinsen So","Pelayanannya tidak memuaskan","NEGATIF"
"Amora Queen","Knp g bs sllu updat dgn pasti,tdk sm dgn promo di iklan nya mudah & cpt,tp sgt lambt","NEGATIF"
"Rio Irawan","Turun bintang... refund nya payah","NEGATIF"
"Ahmad Juanda","Ya dah rugi downkoad nih... Aplikasinya kurang jelas...","NEGATIF"
"Paulsatriya Channel","Busuk... Layanan livechat bertele tele gak nyambung , gak fokus pada solusi malah muter2 jawabnya.. ditelpon call centre juga sudah sampai 24 menit gak connect2 pulsa sampai habis.. Hati2 terjebak.. saat mau beli ga ada verifikasi2an .. giliran mau refund ribet.. aku login pake fb nama..nama FB kok ...Ulasan LengkapBusuk... Layanan livechat bertele tele gak nyambung , gak fokus pada solusi malah muter2 jawabnya.. ditelpon call centre juga sudah sampai 24 menit gak connect2 pulsa sampai habis.. Hati2 terjebak.. saat mau beli ga ada verifikasi2an .. giliran mau refund ribet.. aku login pake fb nama..nama FB kok harus sama kaya KTP.. bad pokoknya","NEGATIF"
"Rysel -99","Aplikasi jelek refund nggak jelas","NEGATIF"
"resky trianasari","Kecewa banget, saya mengajukan refund karena covid-19 setelah ada informasi bahwa refund disetujui oleh maskapai malah alasan refundx berbeda dengan yg saya ajukan.... Alhasil dana refundnya tidak 100%.... Sampai sekarang juga dana refundnya belum ditransfer.....","NEGATIF"
"Dicky Pradiaa","Lambat, udah 1bulan ngajuin refund belum di konfirmasi","NEGATIF"
"Sitti Fatimah","Ada tiket di jual tpi penerbangan di batalkan","NEGATIF"
"cut vina ubit","Sangan mengecewakan. Pembayaran berhasil tetapi E -ticket untuk reschedule tidak terbit. Customer Service buruk. panggilan tidak di jawab. CS Malaysia sangat koperatif. tapi CS indonesia, tidak pernah menjawab.","NEGATIF"
"yola cipta","Pelayanan sangat buruk tidak profesional","NEGATIF"
"rifki ariyanda28","aplikasi kurang baik","NEGATIF"
