"Name","Review","Label"
"Dessy Ekasari","Saya refund 2 org dari 3 org dalam 1 pesanan...ternyata oleh pihak pegi2 di refund semua.......enak aja bilang human error.....untung aja dapat tiket di bandara...kalo ngga ....batal berangkat......pecat aja pegawainya....merugikan pembeli....saya ngga bakalan beli tiket lagi di pegi2","NEGATIF"
"ANDRY","Saya sangat sangat kecewa dengan pegi pegi saya sudah boking hotel dua minggu sebelum hari H namun setelah hari H dan saya sampai di hotel bokingan saya tidak ada di sistem hotel tersebut.... Saya sudah konfirmasi ke pihak hotel sampai saya abis pulsa 100rb dan waktu saya terbuang sia"" dan parahnya ...Ulasan LengkapSaya sangat sangat kecewa dengan pegi pegi saya sudah boking hotel dua minggu sebelum hari H namun setelah hari H dan saya sampai di hotel bokingan saya tidak ada di sistem hotel tersebut.... Saya sudah konfirmasi ke pihak hotel sampai saya abis pulsa 100rb dan waktu saya terbuang sia"" dan parahnya lagi saya di suruh menunggu konfirmasi dari pihak pegi"" sampai berjam"" karna saya menunggu hasil dari pegi"" bagai mana tp sampai saat ini tidak ada niat baik untuk kejelasan bokingan saya.","NEGATIF"
"Arum Azzahwa","Keren, cuma diskon untuk lion g ada sama sekali hehe","POSITIF"
"Ummu Hurairah","Sorry to say, tp ini baru aja aku alamin, pembatalan booking hotel berhasil dilakukan tp pengembalian dana harus selama 7-10hari itupun diluar dari hari sabtu dan minggu. 3-4hari mngkin msh bsa dimaklumi. Tp klo seminggu sampe lebih seminggu gmna cara kerjanya? Emang satu org aja yg kerja gitu ..tol...Ulasan LengkapSorry to say, tp ini baru aja aku alamin, pembatalan booking hotel berhasil dilakukan tp pengembalian dana harus selama 7-10hari itupun diluar dari hari sabtu dan minggu. 3-4hari mngkin msh bsa dimaklumi. Tp klo seminggu sampe lebih seminggu gmna cara kerjanya? Emang satu org aja yg kerja gitu ..tolong perbaiki sistemnya yg kek gini. Klo org butuh uang secepatnya itu gimana dong.msa iya ditunggu smpe hampir 2 pekan.","NEGATIF"
"Daniel Silaban","Bintang 1, saya refund tiket. Dari maskapai sudah kembalikan uangnya ke pegi-pegi, tapi dari pegi-pegi tidak mengirimkan uang ya kapada saya sudah sampai 1 bulan lebih. Saat konfirmasi ke pegi-pegi masalah disuruh nunggu 1-3 bulan. Mengecewakan","NEGATIF"
"Yuki Yang","Mudah & komplit segala kebutuhan traveling ada disini ,, semoga bisa berkolaborasi dengan Dana. Sangat terbantu ","POSITIF"
"Siwi Wulandari","First time pesen buat beli tiket kereta lebaran. Cuma pegipegi yang udah bisa nyaut tanggalnya.mantab","POSITIF"
"Aufa Redgreen","Meski saya kecewa krn hotel yg sy pesan ternyata tdk ada padahal sy telah berada di lokasi yg ditunjukkan oleh peta, tp sy berterima kasih kpd pegi pegi krn telah mengembalikan uang saya. Semoga pegi pegi lbh memperhatikan lg tentang hal tsb dan semoga ke depan lbh baik lg dlm melayani pelanggan.","NEGATIF"
"Kawulo Alit","hati2 klo pesen lewat pegi2 mendingan bayar waktu cek in. Jgn di transfer dulu pengalaman sdh saya transfer ternyata sampai di hotel tdk ada data saya . jd harus bayar 2x alamat uang gw hilang. Di chat suruh nunggu sdh 1minggu uang tdk kembali bukti2 masih ada semua","NEGATIF"
"Chase Pack","Bintang diturunin satu, promo hip hura2 nya gak niat amat ngasih diskon, sekalian aja gak usah ada promo hip2 Hura, Kenapa? Di aturannya, program hip2 Hura gak berlaku buat airy, reddoorz sedangkan sebagian besar hotelnya menggunakan reddoorz dan airy, jadi gak niat ngasih promo lebih baik gak usah....Ulasan LengkapBintang diturunin satu, promo hip hura2 nya gak niat amat ngasih diskon, sekalian aja gak usah ada promo hip2 Hura, Kenapa? Di aturannya, program hip2 Hura gak berlaku buat airy, reddoorz sedangkan sebagian besar hotelnya menggunakan reddoorz dan airy, jadi gak niat ngasih promo lebih baik gak usah. Kecuali kl mau booking hotel berkelas Tah baru bisa.","NEGATIF"
"Kim","Kenapa setelah update tpi sush boking. Bahkan kalaupun terbokng mau cek metode pembayarn selalu tdak bisa.","NEGATIF"
"Antasari Masuli","Banyak Diskonnya. Kalau bisa semua penerbangan ada diskonnya..","POSITIF"
"Reny Agustina","Maaf ya aku kasih 2 dulu, karna sy sudah pesan tiket pesawat dan sudah sy bayar, waktu saya pesan tiket dari pihak pegi2 hanya minta tittle dan nama, setelah sy lihat2 daftar tamu saya ternyata tgl lahirnya sama semua tgl 13 tahun 2007,padahal sebelumnya pihak pegi2 ga minta tgl lahirnya, nanti kl b...Ulasan LengkapMaaf ya aku kasih 2 dulu, karna sy sudah pesan tiket pesawat dan sudah sy bayar, waktu saya pesan tiket dari pihak pegi2 hanya minta tittle dan nama, setelah sy lihat2 daftar tamu saya ternyata tgl lahirnya sama semua tgl 13 tahun 2007,padahal sebelumnya pihak pegi2 ga minta tgl lahirnya, nanti kl bisa di pake tiketnya sy perbaiki bintangnya, tp kl ga bisa di pake, mungkin sy jd org pertma yg menuntut pihak pegi2","NEGATIF"
"Zig G.","Sangat membantu dan diskon memberikan daya tarik harga","POSITIF"
"Farra Morita Kusdianti","Banyak promonya.. harga tiket pesawat juga lebih murah drpd sebelah nyaa","POSITIF"
"almira dewi","Kalau bisa harga yg tertera sdh harga final...nanti bintangnya jadi 5...trims Sesuai janji saya, sekarang bintangnya jadi 5 karena sekarang harga yang tercantum sudah termasuk pajak...tambah sukses pegi pegi","POSITIF"
"vkey banyubiru","Sangat buruk, saya sudah melakukan payment tp dari pihak pegipegi tidak ada konfirmasi ke pihak hotel, tidak bisa refund, nelfon call centre nyedot pulsa ga kira2 nunggu nya. Tolong segera respon!!!","NEGATIF"
"Pian","Sumpaaaah kesel banget, hari ini mau pesen tiket, tapi keluar mulu aplikasinyaaaa, gimana sihh, berulang kali, udah di uninstall, install lagi tetep ajaaa keluar melulu aplikasinyyaaaaa, kecewa paraaaah","NEGATIF"
"ruslan hasan","Berdasarkan pengalaman saya sendiri = HATI-HATI PAKAI APLIKASI YANG SATU INI,,, DAPAT HARGA MURAH, BUKAN BERARTI HARGA DI APLIKASI INI MEMANG LEBIH MURAH DARIPADA OTA LAIN, TAPI SETELAH BELI DENGAN HARGA YANG TERBILANG MURAH, TAK LAMA PIHAL HOTEL DAN PIHAK PEGI-PEGI AKAN MENELPON KARENA HARGA TERSEB...Ulasan LengkapBerdasarkan pengalaman saya sendiri = HATI-HATI PAKAI APLIKASI YANG SATU INI,,, DAPAT HARGA MURAH, BUKAN BERARTI HARGA DI APLIKASI INI MEMANG LEBIH MURAH DARIPADA OTA LAIN, TAPI SETELAH BELI DENGAN HARGA YANG TERBILANG MURAH, TAK LAMA PIHAL HOTEL DAN PIHAK PEGI-PEGI AKAN MENELPON KARENA HARGA TERSEBUT BELUM UPDATE YANG MENYEBABKAN KITA HARUS MENTRANSFER KEKURANGAN HARGA TERSEBUT. lebib baik pakai TRAVELOKA atau pakai TIKET yang harganya sudah pasti.","NEGATIF"
"Akbar daniswara","Udh coba bolakbalik pesen tiket tapi pas udh dipilih dan mau dibayar harganya berubah jd lebih mahal gak sesuai dengan yg tertera...coba ganti jam dan hari lain eh pas diklik bayar malah ga bisa dilakukan pesanan ...app ribet uninstal aja....","NEGATIF"
"Wenny Chi","Sering ada promo...Promo lagi dong dg bca credit card","POSITIF"
"Xuen Beauty & Slim","Kecewa br pertama booking di stts blg batal sebelum tgl 28 sy tgl 27 malam jam 21.23 mita pembatalan lewat telepon katany sudah di batalin trs tiba2 di telepon lagi bilang sudah tidak bisa di batalin kagak jelas belanja dipergi2 dr kmrn bilang mau konfirmasi sampe skrg kagak ad kabar ny ... duit uda...Ulasan LengkapKecewa br pertama booking di stts blg batal sebelum tgl 28 sy tgl 27 malam jam 21.23 mita pembatalan lewat telepon katany sudah di batalin trs tiba2 di telepon lagi bilang sudah tidak bisa di batalin kagak jelas belanja dipergi2 dr kmrn bilang mau konfirmasi sampe skrg kagak ad kabar ny ... duit udah masuk kantong mereka suka2 mereka bilang lah masih di proses bolak balik sy tlp cm jwb ny msh di proses","NEGATIF"
"Defha thori","Kecewa beli tiket pesawat di pegipegi, katanya dana bisa dikembalikan jika penerbangan dibatalkan, sy membatalkan penerbangan krn ada musibah smpi skrng dana blm jg dikembalikan, pdhl beli tiket yg kubatalkan di agen yg lain 2 hr dibatalkan uangku lang dikembalikan, tp di pegipegi kalo di hub macam2...Ulasan LengkapKecewa beli tiket pesawat di pegipegi, katanya dana bisa dikembalikan jika penerbangan dibatalkan, sy membatalkan penerbangan krn ada musibah smpi skrng dana blm jg dikembalikan, pdhl beli tiket yg kubatalkan di agen yg lain 2 hr dibatalkan uangku lang dikembalikan, tp di pegipegi kalo di hub macam2 alasannya","NEGATIF"
"Sidiq Arraniry","Selalu tidak bisa menampilkan pesanan, sudah uninstal, instal dan login ulang masih tetep ga bisa","NEGATIF"
"Vidhestira Dwimadia","Merepotkan hrs diperbaharui krn hp sdg tdk bisa diupdate (kepenuhan file). Hrsny yg blm bs diupdate tetap bs melanjutkan transaksi","NEGATIF"
"Winni Putriprita","Harga lebih murah sedikit di banding aplikasj sebelah, lumayan selisihnya buat bayar asuransi..","POSITIF"
"Audry feeana","Pilihan hotel sangat sedikit.. Kadang kode diskon gak otomatis.. Dan susah dipakai","NEGATIF"
"Maman Firmansyah","Kapok pake ini hati"" bos urusan cuma jadi ribet mau batalin booking ajah jawabannya di puter-puter padahal dari pihak hotel tempat saya pesan aja bisa di batalkan tapi dari pihak PegiPegi malah nahan uangnya dan bilang ga bisa di cancel,... stupid ni aplikasi....","NEGATIF"
"erfan trisulistianto","Saya sebagai Tour Leader sangat puas dengan service Pegi Pegi yang bagus,dan service nya sudah baik.pernah refund hotel langsung ada tanggapan yang sangat memuaskan. Saya juga owner dari Travel Agent merasa terbantu adanya aplikasi Pegi Pegi. Thank you Pegi Pegi","POSITIF"
"Oky Harpriyanto","Cepat dan asuransi nya juga responsif.. Tks Peg....","POSITIF"
"Kezhia Nunumete","Sangat..buruk dalam hal proses refund..dari maskapai sdh dibayar ke pihak aplikasi..tapi dri pihak aplikasi bilang butuh waktu 1 sampai 3 bulan untk proses dari maskapai......","NEGATIF"
"jimwi iqbal bakhri","Lebih ditingkatkan lagi metode pembayarannya. Aplikasi dan web nya sih lebih mudah digunakan tapi dipembayaran masih kurang. Bisa dicontoh metode pembayaran di traveloka. Trims. Semoga didengar dan diperbaiki.","NEGATIF"
"Retno Hastuti","Sudah puluhan kali saya booking hotel lwt pegipegi, tidak pernah kecewa, pernah 2x saya gagal dpt voucher menginap pdhl sudah terlanjur byr, tp sama pegipegi uang saya dikembalikan penuh lwt transfer bank, terima kasih pegipegi, pegipegi mmg top tenan","POSITIF"
